h,k,l,del_CN,tension_host,tension_impurity,del_tension,radius_host,radius_impurity,del_radius,PEN_host,PEN_impurity,del_PEN,IE_host,IE_impurity,del_IE,EA_host,EA_impurity,del_EA,Esegr
6,4,3,6,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.7
6,4,3,5,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.62
6,4,3,4,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.54
6,4,3,3,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.43
6,4,3,2,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.31
6,4,3,1,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.13
6,4,3,0,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,0.04
6,4,3,6,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.64
6,4,3,5,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.51
6,4,3,4,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.31
6,4,3,3,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.2
6,4,3,2,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.09
6,4,3,1,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.01
6,4,3,0,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.02
6,4,3,6,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,0
6,4,3,5,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,-0.03
6,4,3,4,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,-0.1
6,4,3,3,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,-0.06
6,4,3,2,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,-0.11
6,4,3,1,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,-0.09
6,4,3,0,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,-0.03
6,4,3,6,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,1
6,4,3,5,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.84
6,4,3,4,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.7
6,4,3,3,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.47
6,4,3,2,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.42
6,4,3,1,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.12
6,4,3,0,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,-0.02
6,4,3,6,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,1.65
6,4,3,5,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,1.28
6,4,3,4,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,0.93
6,4,3,3,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,0.57
6,4,3,2,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,0.26
6,4,3,1,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,-0.08
6,4,3,0,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,-0.27
6,4,3,6,2,1.65,-0.35,2.81,3.05,0.24,2.28,1.54,-0.74,7.4589,6.8281,-0.6308,1.14289,0.07554,-1.06735,0.32
6,4,3,5,2,1.65,-0.35,2.81,3.05,0.24,2.28,1.54,-0.74,7.4589,6.8281,-0.6308,1.14289,0.07554,-1.06735,0.34
6,4,3,4,2,1.65,-0.35,2.81,3.05,0.24,2.28,1.54,-0.74,7.4589,6.8281,-0.6308,1.14289,0.07554,-1.06735,0.24
6,4,3,3,2,1.65,-0.35,2.81,3.05,0.24,2.28,1.54,-0.74,7.4589,6.8281,-0.6308,1.14289,0.07554,-1.06735,0.19
6,4,3,2,2,1.65,-0.35,2.81,3.05,0.24,2.28,1.54,-0.74,7.4589,6.8281,-0.6308,1.14289,0.07554,-1.06735,0.19
6,4,3,1,2,1.65,-0.35,2.81,3.05,0.24,2.28,1.54,-0.74,7.4589,6.8281,-0.6308,1.14289,0.07554,-1.06735,-0.11
6,4,3,0,2,1.65,-0.35,2.81,3.05,0.24,2.28,1.54,-0.74,7.4589,6.8281,-0.6308,1.14289,0.07554,-1.06735,-0.32
6,4,3,6,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.59
6,4,3,5,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.54
6,4,3,4,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.4
6,4,3,3,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.33
6,4,3,2,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.33
6,4,3,1,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,0.03
6,4,3,0,2,1.95,-0.05,2.81,2.82,0.01,2.28,1.63,-0.65,7.4589,6.7462,-0.7127,1.14289,0.52766,-0.61523,-0.22
6,4,3,6,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.7
6,4,3,5,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.52
6,4,3,4,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.35
6,4,3,3,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.28
6,4,3,2,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.19
6,4,3,1,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.14
6,4,3,0,2,1.3,-0.7,2.81,2.67,-0.14,2.28,1.9,-0.38,7.4589,7.72638,0.26748,1.14289,1.23578,0.09289,-0.16
6,4,3,6,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.36
6,4,3,5,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.36
6,4,3,4,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.37
6,4,3,3,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.32
6,4,3,2,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.3
6,4,3,1,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,-0.14
6,4,3,0,2,1.8,-0.2,2.81,2.9,0.09,2.28,2.28,0,7.4589,8.9587,1.4998,1.14289,2.1251,0.98221,0.02
6,4,3,6,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,1.18
6,4,3,5,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,0.93
6,4,3,4,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,0.66
6,4,3,3,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,0.45
6,4,3,2,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,0.39
6,4,3,1,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,0.09
6,4,3,0,2,2.7,0.7,2.81,2.87,0.06,2.28,1.9,-0.38,7.4589,7.8335,0.3746,1.14289,0.060396,-1.082494,-0.07
6,4,3,6,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.05
6,4,3,5,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.1
6,4,3,4,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.14
6,4,3,3,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.1
6,4,3,2,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.22
6,4,3,1,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.15
6,4,3,0,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.07
6,4,3,6,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.92
6,4,3,5,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.69
6,4,3,4,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.58
6,4,3,3,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.53
6,4,3,2,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.34
6,4,3,1,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.17
6,4,3,0,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.09
6,4,3,6,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.47
6,4,3,5,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.36
6,4,3,4,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.3
6,4,3,3,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.24
6,4,3,2,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.13
6,4,3,1,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.03
6,4,3,0,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,-0.01
6,4,3,6,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.48
6,4,3,5,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.38
6,4,3,4,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.34
6,4,3,3,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.29
6,4,3,2,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.14
6,4,3,1,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.04
6,4,3,0,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.03
6,4,3,6,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,-0.32
6,4,3,5,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.21
6,4,3,4,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.13
6,4,3,3,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.09
6,4,3,2,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.01
6,4,3,1,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0
6,4,3,0,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.05
6,4,3,6,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.04
6,4,3,5,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.19
6,4,3,4,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.14
6,4,3,3,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.08
6,4,3,2,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.13
6,4,3,1,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,-0.19
6,4,3,0,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,-0.59
6,4,3,6,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-1.16
6,4,3,5,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.79
6,4,3,4,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.43
6,4,3,3,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.35
6,4,3,2,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.22
6,4,3,1,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.22
6,4,3,0,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.19
6,4,3,6,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.36
6,4,3,5,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.24
6,4,3,4,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.09
6,4,3,3,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.03
6,4,3,2,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,0.01
6,4,3,1,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,0.01
6,4,3,0,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.04
6,4,3,6,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-1.22
6,4,3,5,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.95
6,4,3,4,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.65
6,4,3,3,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.48
6,4,3,2,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.39
6,4,3,1,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.2
6,4,3,0,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.09
6,4,3,6,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.96
6,4,3,5,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.8
6,4,3,4,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.66
6,4,3,3,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.52
6,4,3,2,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.46
6,4,3,1,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.24
6,4,3,0,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.04
