,h,k,l,del_CN,del_tension,del_radius,PEN_host,PEN_impurity,IE_host,IE_impurity,EA_host,EA_impurity,Esegr
214,1,1,0,5,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.27
241,6,4,3,0,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,-0.59
243,3,2,2,5,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.88
2,1,1,0,5,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.63
87,3,2,2,2,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.06
153,3,2,2,5,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.11
249,3,2,2,3,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.45
113,1,1,1,3,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.33
38,1,1,1,3,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.1
36,1,0,0,4,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.08
179,6,4,3,1,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.17
106,6,4,3,0,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,-0.22
118,6,4,3,2,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.19
258,3,2,2,5,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.27
272,6,4,3,6,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-1.22
101,6,4,3,3,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.33
6,5,3,1,4,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.53
261,1,0,0,4,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.23
221,6,4,3,3,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.09
80,6,4,3,5,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.34
112,6,4,3,4,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.35
108,3,2,2,5,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.54
66,1,0,0,4,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,1.23
34,1,1,0,5,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,0.01
279,3,2,2,3,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.52
140,6,4,3,5,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.93
48,3,2,2,5,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.94
242,6,4,3,6,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-1.16
10,6,4,3,3,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.43
39,3,2,2,3,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,0.01
149,6,4,3,1,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.09
122,6,4,3,6,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.36
259,1,1,0,5,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.31
111,1,0,0,4,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.43
59,6,4,3,1,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.12
273,3,2,2,5,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-1.04
27,6,4,3,2,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.09
162,3,2,2,2,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.22
5,6,4,3,4,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.54
163,6,4,3,2,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.22
42,3,2,2,2,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.04
276,1,0,0,4,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.9
23,3,2,2,3,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.37
156,1,0,0,4,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.19
117,3,2,2,2,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.12
51,1,0,0,4,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.84
287,6,4,3,6,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.96
247,6,4,3,4,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.43
195,3,2,2,0,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,-0.03
124,1,1,0,5,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.32
174,3,2,2,3,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.48
254,6,4,3,1,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.22
203,1,1,1,3,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.28
291,1,0,0,4,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.78
286,6,4,3,0,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.09
244,1,1,0,5,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.99
275,6,4,3,5,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.95
86,6,4,3,3,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.19
166,6,4,3,0,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.07
143,1,1,1,3,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.48
54,3,2,2,3,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.59
123,3,2,2,5,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.38
170,6,4,3,5,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.69
17,3,2,2,5,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.62
192,3,2,2,2,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.14
257,6,4,3,6,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.36
11,3,2,2,2,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.36
188,1,1,1,3,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.28
138,3,2,2,5,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,1.04
234,3,2,2,3,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.0
213,3,2,2,5,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.22
206,6,4,3,3,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.29
99,3,2,2,3,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.27
189,3,2,2,3,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.24
177,3,2,2,2,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.32
50,6,4,3,5,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.84
215,6,4,3,5,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.21
281,6,4,3,3,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.48
181,6,4,3,0,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.09
21,6,4,3,4,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.31
253,6,4,3,2,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.22
141,1,0,0,4,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.86
60,3,2,2,0,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.08
128,1,1,1,3,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.38
56,6,4,3,3,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.47
133,6,4,3,2,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.3
171,1,0,0,4,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.63
74,6,4,3,1,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,-0.08
208,6,4,3,2,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.14
211,6,4,3,0,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.03
182,6,4,3,6,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.47
20,1,0,0,4,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.42
293,1,1,1,3,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.63
57,3,2,2,2,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.41
58,6,4,3,2,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.42
176,6,4,3,3,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.53
115,3,2,2,3,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.3
204,3,2,2,3,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.3
236,6,4,3,3,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.08
1,3,2,2,5,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.62
79,1,1,0,5,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.06
150,3,2,2,0,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,-0.11
72,3,2,2,2,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,0.44
142,6,4,3,4,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.66
231,1,0,0,4,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.17
109,1,1,0,5,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.58
262,6,4,3,4,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.09
129,3,2,2,3,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.32
24,3,2,2,3,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.38
96,1,0,0,4,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.57
260,6,4,3,5,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.24
18,1,1,0,5,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.58
267,3,2,2,2,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,0.0
81,1,0,0,4,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.34
139,1,1,0,5,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.8
83,1,1,1,3,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.23
190,3,2,2,3,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.21
183,3,2,2,5,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.38
235,3,2,2,3,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.21
16,6,4,3,6,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.64
158,1,1,1,3,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.16
63,3,2,2,5,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,1.4
134,6,4,3,1,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.14
68,1,1,1,3,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,0.6
288,3,2,2,5,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.88
15,6,4,3,0,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,0.04
43,6,4,3,2,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.11
45,3,2,2,0,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,0.11
202,6,4,3,4,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.34
237,3,2,2,2,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,-0.04
300,3,2,2,0,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.04
8,3,2,2,3,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.43
31,6,4,3,0,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.02
147,3,2,2,2,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.25
104,6,4,3,1,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.03
4,1,0,0,4,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.59
212,6,4,3,6,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,-0.32
28,6,4,3,1,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.01
9,3,2,2,3,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.42
90,3,2,2,0,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,-0.29
44,6,4,3,1,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.09
64,1,1,0,5,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,1.4
277,6,4,3,4,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.65
194,6,4,3,1,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.03
40,3,2,2,3,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,0.04
251,6,4,3,3,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.35
130,3,2,2,3,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.35
46,6,4,3,0,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.03
131,6,4,3,3,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.32
256,6,4,3,0,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.19
102,3,2,2,2,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.23
135,3,2,2,0,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,0.06
119,6,4,3,1,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.14
82,6,4,3,4,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.24
137,6,4,3,6,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,1.18
294,3,2,2,3,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.56
185,6,4,3,5,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.36
97,6,4,3,4,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.4
30,1,1,1,0,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.12
173,1,1,1,3,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.64
91,6,4,3,0,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,-0.32
298,6,4,3,2,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.46
220,3,2,2,3,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.07
69,3,2,2,3,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,0.71
229,1,1,0,5,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,-0.35
240,3,2,2,0,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,-0.49
285,3,2,2,0,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.07
198,3,2,2,5,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.41
47,6,4,3,6,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,1.0
196,6,4,3,0,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,-0.01
70,3,2,2,3,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,0.71
12,6,4,3,2,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.31
25,6,4,3,3,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.2
0,6,4,3,6,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.7
245,6,4,3,5,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.79
238,6,4,3,2,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.13
180,3,2,2,0,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,-0.03
210,3,2,2,0,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.02
93,3,2,2,5,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.63
268,6,4,3,2,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,0.01
14,3,2,2,0,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,0.06
172,6,4,3,4,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.58
233,1,1,1,3,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.12
148,6,4,3,2,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.39
216,1,0,0,4,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.19
160,3,2,2,3,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.13
84,3,2,2,3,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.13
145,3,2,2,3,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.64
85,3,2,2,3,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.34
193,6,4,3,2,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.13
114,3,2,2,3,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.31
266,6,4,3,3,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.03
125,6,4,3,5,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.36
3,6,4,3,5,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.62
292,6,4,3,4,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.66
201,1,0,0,4,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.34
7,1,1,1,3,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.45
151,6,4,3,0,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,-0.07
71,6,4,3,3,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,0.57
165,3,2,2,0,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.05
226,6,4,3,0,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.05
32,6,4,3,6,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,0.0
52,6,4,3,4,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.7
230,6,4,3,5,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.19
35,6,4,3,5,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.03
127,6,4,3,4,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.37
168,3,2,2,5,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.72
283,6,4,3,2,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.39
78,3,2,2,5,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.41
76,6,4,3,0,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,-0.27
37,6,4,3,4,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.1
